S_NOMBARRI,SHAPE_Leng,SHAPE_Area
San Jose,3047.058332,367515.2776
La Paz,2780.181666,337169.8578
Loma de Las Brujas,2660.995035,286156.5117
Primavera,1929.741489,231351.4507
El Chocho,2380.625464,256830.2183
La Pradera,4002.32646,467909.9988
El Dorado,3631.356096,499861.9676
Miraflores,2497.617331,291314.0097
Cataluña,4428.481505,472836.2554
Asomadera No.3,2399.475168,171785.5958
Los Cerros El Vergel,2765.137463,317159.3669
La Milagrosa,2241.397295,199828.0889
El Salvador,3336.588152,354178.8338
Florida Nueva,2134.875481,249294.0649
Estadio,2635.87853,363658.9714
Santa Teresita,3335.714526,317847.0885
La América,3314.424556,358840.698
Ferrini,2016.442992,200430.6583
Campo Alegre,3301.720821,342358.6671
Los Alcázares,2941.959447,273222.5633
Nuevos Conquistadores,2456.41835,223969.6386
Antonio Nariño,3437.206269,393544.2368
La Pradera,3067.211377,350798.3234
El Salado,4060.539102,438354.9857
Blanquizal,2183.455259,121972.3855
Santa María de Los Ángeles,3303.683568,559121.1606
Campo Amor,6010.576881,1799602.792
Tenche,2101.868845,230750.975
Mesa,2623.384598,256959.3575
Milan Vallejuelos,2482.726974,306751.8844
La Inmaculada,4158.88283,500394.8676
Los Naranjos,1893.961946,157205.6384
La Sebastiana,2161.227534,134274.0902
Alcala,2105.730272,279923.5647
Obrero,1465.336914,110207.4891
Bucarest,939.1255112,48217.26123
Loma El Atravesado,3635.327332,511594.0196
Centro,3609.437958,329845.6164
Las Flores,1333.480304,84365.49282
Uribe Angel,2795.32607,220923.4352
La Mgnolia,1959.213615,149616.7154
San Marcos,1876.833583,159167.7418
Ocho de Marzo,1503.653634,58160.01214
Los Pinos,2022.584148,233578.2049
Calasanz,2337.563882,313856.5957
Simón Bolívar,2395.071916,292228.6324
Santa Lucía,3051.74633,275767.7419
Santa Mónica,2836.675671,355362.2452
La Floresta,2737.197778,423348.2007
El Danubio,2332.67465,212221.4666
Barrio Cristóbal,2188.996166,236531.6177
Jesús Nazareno,3665.673053,305502.4512
Calasana Parte Alta,4109.13585,413942.2036
Betania,4299.125888,352172.6554
Belencito,3324.704309,369121.5553
San Javier No.1,2340.275747,227945.1367
El Socorro,2568.098684,182607.5972
El Tesoro,5906.762577,1184722.228
La Florida,4066.681929,768212.6391
Altos del Poblado,5130.936851,912607.6324
Barrio Colombia,2850.792813,401909.1154
La Hondonada,4063.547134,460993.2307
El Rincón,4985.579518,671603.6401
Cerro Nutibara,1998.221445,135437.4146
Nueva Villa del Aburrá,2251.604523,188722.7696
Belén,4324.520199,535329.6712
La Gloria,3864.737109,611693.8952
Miravalle,1867.75151,164526.1052
Calle Nueva,2298.405026,229336.7534
Los Ángeles,2427.290041,237939.7161
El Chagualo,2517.330641,366809.2378
San Benito,3295.073304,493141.2387
Guayaquil,2554.711319,318429.8095
Boston,3123.477446,536735.3119
Perpetuo Socorro,3709.671717,639357.222
Las Palmas,3059.884646,323959.0639
La Candelaria,3614.814673,649691.1887
Barrio Colón,3427.580888,358443.8238
San Diego,4819.457199,709552.9221
Villa Nueva,2341.885858,300456.1659
El Corazón,3167.175085,212982.635
Guayabal,4203.648881,914555.5488
Cristo Rey,5662.987315,1027422.891
Trinidad,4374.242248,680191.347
La Colina,5019.346814,815701.2515
Diego Echavarría,2936.498202,317876.4803
El Nogal-Los Almendros,3073.132785,248398.9428
Rosales,3273.125056,605521.0788
La Loma de Los Bernal,3928.443072,484918.336
Fátima,2703.776898,435130.166
La Mota,4354.354232,509342.5483
Alejandro Echavarría,3886.652483,366720.1191
Asomadera No.2,4249.155953,656872.3325
Barrio Caycedo,2471.551718,210402.5447
Asomadera No.1,3694.224307,570107.1525
Corazón de Jesús,2393.056252,329803.8525
La Palma,2477.936503,334417.6298
San Bernardo,3601.297635,568277.6886
Las Mercedes,3319.565097,376420.4873
Las Playas,2624.006381,354957.6298
Granada,6333.585629,186883.0267
Bomboná No.2,4431.017594,659753.9516
Prado,3452.298028,625796.2763
Los Alpes,2377.673919,279735.5981
Altavista,4523.140933,407613.5479
Las Violetas,5380.374491,597489.4647
Sin Nombre,865.7149127,24548.24971
Sin Nombre,1598.362076,75669.1096
Sin Nombre,2836.707572,149980.7642
Santa Cruz,2136.313668,238135.961
La Isla,3110.724443,213529.5935
La Frontera,1866.795881,163856.6011
La Francia,2980.351205,342424.9852
La Cruz,4077.529393,602635.2899
Versalles No.1,2797.654472,367433.9111
Oriente,3159.553418,415416.8056
San José La Cima No.2,1631.4179,139120.9706
María Cano-Carambolas,2925.698758,353695.3514
San José La Cima No.1,2156.727969,155779.5109
La Salle,3440.205971,367649.0787
